center,area,orientation,poly,id,potential_output
"(11.743708598054168, 48.39937940235098)",267.3092174218036,,"[(11.7437546, 48.3993997), (11.7437874, 48.3992747), (11.7436557, 48.3992595), (11.7436311, 48.3993535), (11.7436135, 48.3994206), (11.7436031, 48.3994603), (11.7438017, 48.3994832), (11.7438071, 48.3994627), (11.7438216, 48.3994074), (11.7437546, 48.3993997)]",oberbayern-houses_18,40266.79223937694
"(11.451032878519074, 48.81194100425906)",269.5565026886761,,"[(11.4509379, 48.812025), (11.4508932, 48.8118908), (11.4511278, 48.811857), (11.4511726, 48.8119912), (11.4509379, 48.812025)]",oberbayern-houses_214,40059.46575582088
"(12.727192603305552, 48.15437290422939)",267.48249746859074,,"[(12.7271338, 48.1544719), (12.7270333, 48.1543662), (12.7272514, 48.1542739), (12.7273519, 48.1543796), (12.7272227, 48.1544343), (12.7271338, 48.1544719)]",oberbayern-houses_50,39811.426216981374
"(11.301512868585188, 48.331431947983525)",260.5730895623565,,"[(11.3014277, 48.3315215), (11.301669, 48.3314533), (11.3015981, 48.3313424), (11.3013567, 48.3314106), (11.3014277, 48.3315215)]",oberbayern-houses_614,39545.22350470712
"(11.446940158923445, 48.816453097709925)",265.24084883742034,,"[(11.446842, 48.8165346), (11.4468027, 48.8164018), (11.4470383, 48.8163716), (11.4470455, 48.8163958), (11.4470776, 48.8165044), (11.446842, 48.8165346)]",oberbayern-houses_423,39328.5868613685
"(11.45627400622486, 48.81383420485907)",264.58664605696686,,"[(11.456149, 48.8138986), (11.4563963, 48.8139008), (11.4563989, 48.8137697), (11.4561517, 48.8137677), (11.456149, 48.8138986)]",oberbayern-houses_499,39320.88293714098
"(11.278660306641218, 48.10151987904026)",256.6736587956548,,"[(11.2785461, 48.1016042), (11.2787863, 48.1015709), (11.2787415, 48.1014243), (11.2785833, 48.1014467), (11.2786062, 48.1015127), (11.2785187, 48.1015251), (11.2785461, 48.1016042)]",oberbayern-houses_23,39068.939289433605
"(11.456284700000001, 48.813489649999994)",262.34332258976065,,"[(11.45617, 48.8135596), (11.4561721, 48.8134183), (11.4563994, 48.8134197), (11.4563973, 48.813561), (11.45617, 48.8135596)]",oberbayern-houses_510,38987.4970283708
"(11.445300399999999, 48.814381250000004)",262.27875453978777,,"[(11.4452097, 48.814467), (11.4451516, 48.8143449), (11.4453911, 48.8142955), (11.4454492, 48.8144176), (11.4452097, 48.814467)]",oberbayern-houses_471,38977.90140904421
"(11.710798200000003, 48.05914204999999)",258.9768004119396,,"[(11.7107199, 48.059233), (11.7106442, 48.0591214), (11.7108765, 48.0590511), (11.7109522, 48.0591627), (11.7107199, 48.059233)]",oberbayern-houses_547,38807.67354172915
"(11.452256247517653, 48.106831126329794)",255.45982527849264,True,"[(11.4521085, 48.1067729), (11.4523737, 48.1067679), (11.4523793, 48.1068986), (11.4521778, 48.1069024), (11.4521753, 48.1068422), (11.4521115, 48.1068434), (11.4521085, 48.1067729)]",oberbayern-houses_20,38797.96096417107
